5 5
241	148	454	154	178	435	177	34	405	265	20	41	67	33	319	
144	125	263	189	28	250	1	44	157	388	31	453	433	355	287	
59	141	2	280	183	118	226	191	206	127	249	214	26	163	440	
6	378	321	47	204	421	382	320	128	296	377	194	26	259	80	
38	448	281	339	292	192	19	147	164	358	27	101	415	109	389	
458	416	30	98	469	458	104	91	363	104	486	56	158	494	278	
162	45	177	4	185	275	50	218	38	239	291	265	312	399	459	
8	425	11	472	367	452	131	453	403	412	63	248	164	324	31	
116	299	461	388	480	253	187	394	28	100	16	114	300	456	317	
409	214	37	150	125	279	463	496	456	209	69	297	135	294	162	
147	437	433	362	193	460	277	53	287	119	291	105	304	53	77	
460	453	124	91	186	351	434	437	476	209	72	140	207	195	451	
478	1	231	456	128	373	130	138	170	134	140	443	410	368	187	
323	476	19	485	444	46	245	286	91	206	284	157	174	13	483	
261	478	462	379	166	75	198	37	279	322	383	250	256	301	73	
