20 20
0.1808	-0.3337	-0.2386	-0.3662	0.1348	0.3728	-0.2954	0.201	-0.2742	-0.009137	-0.2698	-0.1949	-0.1123	0.2297	-0.08711	0.1613	0.2415	-0.1507	-0.1002	-0.06322	
0.2765	0.3112	0.1038	0.1116	-0.06438	0.01897	-0.187	-0.0134	-0.3233	-0.1385	-0.2525	-0.4022	0.1099	0.1367	-0.0277	-0.06246	-0.484	0.1342	0.3111	0.1737	
0.2619	-0.1611	-0.07451	0.03352	-0.3527	-0.06532	-0.08443	-0.2215	-0.2445	0.3269	-0.1756	0.0618	0.1958	-0.2118	0.3823	-0.3764	0.2959	0.1308	0.1137	-0.1552	
0.239	0.4124	-0.2837	0.2577	-0.08708	0.1409	0.1958	-0.1965	0.08429	-0.3054	-0.05769	0.05028	0.005994	0.249	-0.06826	0.03395	0.2717	-0.2751	0.1021	-0.4331	
0.2326	0.1382	-0.0142	0.2163	0.1083	-0.1157	-0.1226	0.053	-0.2643	0.09168	0.08418	0.1515	-0.4519	-0.07224	-0.1234	0.2049	0.02542	0.5659	-0.2625	-0.2684	
0.2004	0.02495	0.3406	0.07398	0.1173	-0.06326	0.01735	-0.03192	-0.2419	-0.2622	-0.006321	0.2642	0.06243	0.2582	-0.1684	-0.4375	0.2286	-0.09048	-0.3799	0.3556	
0.1656	0.2268	-0.1486	-0.2781	0.148	0.1794	-0.013	0.3815	0.1847	-0.264	-0.02257	0.0973	0.4257	-0.4066	-0.06135	-0.2065	-0.02709	0.2848	-0.1222	-0.136	
0.2651	0.114	-0.1614	0.04786	-0.2268	-0.3703	-0.5051	0.1705	0.3717	0.01818	0.08483	-0.1849	-0.2327	-0.1445	-0.05824	-0.1191	0.03258	-0.3087	-0.1779	0.1233	
0.2461	-0.22	0.1166	0.3981	0.1525	0.3419	-0.0329	-0.3213	0.3576	0.07018	-0.3804	-0.003652	0.08786	-0.2545	-0.06831	0.1826	-0.109	-0.008545	-0.2404	0.1291	
0.255	-0.3417	0.1652	0.06755	0.2684	-0.07024	-0.1273	0.1918	0.2296	-0.006247	-0.01734	0.3663	-0.1264	0.1818	-0.05434	-0.2385	-0.1943	-0.03338	0.4982	-0.2708	
0.1667	-0.3177	-0.109	0.3387	-0.00695	0.1344	-0.03755	0.07269	-0.009423	0.01478	0.6508	-0.315	0.3548	0.2108	-0.01511	-0.01656	-0.02134	0.112	-0.09815	-0.05849	
0.1718	0.1155	0.306	-0.2105	-0.09224	0.1292	-0.2492	-0.0853	0.1839	-0.2468	0.1651	0.1713	0.01639	0.2014	0.628	0.3451	0.04051	0.1098	-0.02897	0.06639	
0.185	0.1323	0.2609	-0.07482	0.07366	-0.3473	-0.02035	0.1206	-0.1016	0.3899	-0.08607	0.1102	0.4919	0.09559	-0.175	0.4101	0.01521	-0.2262	-0.1034	-0.1993	
0.2247	0.224	-0.2666	-0.04467	0.05858	0.3119	-0.06496	-0.08732	-0.178	0.2907	0.3407	0.4066	-0.03751	-0.1771	-0.1089	0.1025	-0.0614	-0.1871	0.2381	0.4069	
0.2199	-0.169	-0.2592	0.131	0.09287	-0.1879	0.397	0.2834	-0.2253	-0.1353	-0.07316	0.08459	-0.08985	-0.1122	0.449	0.08097	-0.3324	-0.2869	-0.2283	0.04008	
0.2238	-0.1238	0.02579	-0.3788	-0.5479	0.1239	0.242	-0.1522	0.1231	0.06504	0.05615	0.1179	-0.08987	0.1719	-0.2616	-0.06554	-0.4106	0.04806	-0.2396	-0.1343	
0.2005	0.2695	0.2075	-0.2099	0.3936	0.1533	0.2625	-0.03405	0.1624	0.4215	0.1217	-0.3708	-0.2247	0.05576	0.196	-0.2776	0.0211	-0.08005	-0.09965	-0.09664	
0.271	-0.06796	-0.3095	-0.1175	0.0624	-0.3117	0.3153	-0.01133	0.2829	0.04231	-0.1444	-0.0642	0.05017	0.2733	-0.04724	0.1382	0.2426	0.381	0.1728	0.4154	
0.2502	-0.2046	0.1224	-0.2931	0.1904	-0.258	0.07282	-0.4465	-0.1537	-0.3565	0.2247	-0.1893	-0.04649	-0.4048	-0.1508	0.1262	0.06942	-0.1055	0.1511	-0.08202	
0.1758	-0.03961	0.4179	0.1413	-0.361	0.1936	0.2942	0.4631	-0.01653	-0.04183	0.02202	-0.137	-0.1701	-0.2377	-0.1092	0.1607	0.3041	-0.0496	0.2324	0.1034	
