100 100
4979	3121	2714	957	3234	4339	583	1512	4418	4890	1152	3456	689	599	374	4330	4608	4435	2504	567	2266	1731	81	3124	1563	3930	4071	191	2628	4085	4709	1956	3710	2404	2428	4265	437	1119	2262	4374	4272	832	4971	2434	14	3408	2103	1250	2210	1524	2251	1826	402	3593	2874	1865	36	781	1016	3920	850	4049	4590	3875	4017	3804	2505	4740	1372	2169	3668	3660	262	2140	3147	2684	4720	1848	986	4475	271	4557	3812	1376	761	2496	104	3386	1906	2772	2633	150	1026	944	4054	2529	4825	960	1289	2238	
0.01567	4935	3104	1121	1717	4749	2501	2403	3932	3981	286	1298	4796	1449	961.1	3915	1898	1446	3100	2521	3508	1852	2320	1183	402.5	1932	3113	2700	4148	3081	4288	2742	2670	1747	3502	4230	4704	2824	450.6	1032	2127	1904	3531	1089	2160	2584	76.05	3117	914.4	2242	1144	4233	2392	1171	3581	3536	3929	584.8	4758	1518	2302	3887	3718	2967	4158	875.4	3422	678.7	2194	504	2730	1200	4180	4703	610.7	895	4450	650	2330	1248	1211	2371	1554	2215	4356	553.9	4539	1955	3108	566.6	1512	1122	3159	3377	1725	785.4	1010	1652	4545	3070	
0.4644	-0.2533	4401	3865	1531	-602.7	1095	2497	-32.44	-650	674.5	26	1691	2548	561.8	2949	3216	587.8	1786	1781	4795	236.4	3101	1967	501.2	3215	1529	4900	3522	2256	2906	1822	645.6	3438	505.7	1512	1320	2462	2599	838.5	-537.8	151	341.3	1893	2749	-160	3550	3111	2101	-36.66	2666	4136	4967	2065	2301	3339	3506	4176	3472	-567.8	4720	-693.5	3787	-646.6	169.1	1659	4291	-183.1	-0.3958	3150	3924	-44.6	3062	4765	2573	1906	1046	68.56	2294	834.2	1995	263.5	1574	1948	5028	3866	2305	298	1281	1984	-35.65	2505	447.8	5210	80.65	2139	905.5	3128	4798	613.5	
0.4927	0.6262	-0.6667	5959	-1005	-2833	3134	1960	-2895	-4208	859.1	-1345	1707	3522	1142	678.2	-1158	-2360	1016	1964	2029	608.1	1172	2422	2510	974.8	110.4	1602	300.2	1052	1319	333	-1501	625.7	-2482	-2309	1492	-189.7	2699	659.5	-1910	-1031	-340.7	1745	721.1	-1607	2249	-252.8	3520	-1418	951.4	3798	3118	510.5	-427.6	-172.1	1011	2403	3405	721.9	1347	-2904	1741	-1508	-2575	1745	118.6	-1192	-608.8	4576	174.8	721.9	2715	627.9	957.7	-484.8	84.04	1637	2282	-949	1635	-3163	680.7	945.6	3867	2123	1897	1354	2582	972.4	-309.6	4996	1217	978.6	-1772	4313	-307.2	3595	3098	-1543	
0.02993	0.703	-0.137	0.6185	4330	221.2	1208	2065	1621	205.9	-623.4	393.6	-1824	1810	-814.5	-2575	4129	4851	-618.8	-1229	-2485	67.51	3042	781.9	2463	2561	190.6	-1585	506	382	221.5	1745	-725.1	1430	628.7	13.61	-402.2	804.3	-263.8	640.2	1873	2690	2492	1321	-448.4	3645	1641	2462	1713	1060	1599	-455.8	-1806	797.5	-104	2862	-2456	1827	-4889	-1216	1279	735.5	165.6	3038	2161	3036	1262	154.3	8.284	1972	-1456	2018	-2226	565.5	2763	2870	849.4	3442	-2285	4590	2943	3601	2123	561.2	-1958	1609	-3360	126.5	-1424	82.06	2894	-3171	-2249	-683.2	-115.4	1310	932.3	793.9	-4153	-903.9	
0.3209	-0.1823	0.01134	0.5233	0.9297	5414	1023	-1607	285.5	5549	4607	-285.9	6263	67.87	1662	6198	-1686	-1730	729	4625	3852	128.4	1812	-2340	-1323	-3168	3321	4906	1750	1532	2481	465.8	2136	1488	4119	4822	2906	1191	815.5	-1005	-1241	2564	1289	-597.1	3664	-1610	-1729	888.9	397.2	1680	-491.9	229.8	5079	983.2	1190	2074	7041	-2233	3365	1768	-584.5	2484	-1581	-2047	2480	-2035	1904	765	5110	-2344	1178	-512.8	2934	3818	894.6	1080	1333	-2911	1777	-556.8	-2347	-778.3	-730.6	1511	2162	-1451	5561	-108	184.7	2360	146.5	1374	2683	4509	2568	-3862	2706	-916.7	5745	2478	
0.9835	0.1991	0.2106	-0.2338	-0.7118	-0.7104	5342	2247	-3862	356.7	3187	-2.331	5538	1725	1896	718	-4071	-1109	-215.9	5882	2228	522.5	3027	-3669	3177	-4265	-831.4	2343	-1772	776.4	-3157	90.42	963.3	-850.8	1073	-2292	1875	1983	274.9	-1611	-2985	3001	-745.2	-22.36	5943	-205.4	2379	3995	1846	283.6	435.2	-599.6	4983	974.7	-1507	856.3	3500	1916	-1195	-1912	1071	-2671	-4224	-3320	860.9	-2750	1155	-285	3573	2692	-1599	1818	3923	1062	842.1	631.7	-3120	3021	2046	1253	336.7	-1523	-2030	-480	-1233	-910.3	2663	865.8	-2836	3212	3040	-827.5	875.8	647.5	-2776	-3470	2062	754.7	1944	-727.1	
0.2428	0.7182	-0.01534	-0.1116	0.575	-0.4713	0.5816	-4083	423.3	419.4	3360	2327	362	-1422	914.4	2709	-632.9	-2126	-1114	-144.2	-570.1	1697	-3251	-300.5	112.9	1475	1496	297.7	-1888	-2121	-240.9	1262	811.8	1424	623.8	-322.1	-949.6	-1185	1534	-437.9	-1686	153.8	-3050	1601	-1477	-1750	80.42	-2365	-453.6	2567	-86.43	980.9	3774	-872.6	-1699	-3573	3863	-727.7	3400	3282	81.75	-1794	2336	-3569	-3602	-448.5	-2493	823.3	-633.3	-263.8	1793	-2092	324.1	-1675	2089	1980	1327	-3475	3446	-2164	-512.3	-3307	-1188	997.7	420.2	817.4	4718	613.5	2174	-838	-3264	6856	-290.5	4294	4563	-780	-2024	186.2	5299	1182	
0.5975	-0.159	-0.06429	0.09597	-0.1414	-0.02104	0.7467	-0.5417	6499	2446	1988	1366	-2041	-978.4	-122.5	-62.52	6048	-636.7	-1355	-3887	2055	4738	-1968	1768	397.2	2461	4149	2557	3874	-2336	4125	3762	2848	3831	780.8	2197	924.3	1466	-470.1	2954	380.1	1884	-1422	1251	-2844	828.4	-2039	-2853	2005	2964	3182	5039	206	96.14	3177	-1799	4534	267.6	5171	1376	4288	2807	6078	1313	-3076	1130	277.4	-1181	1226	-1434	2727	-4116	4.839	208.5	3037	3766	1225	-1687	508.5	-1728	3964	423	45.34	5524	3895	2089	3945	-1983	4610	-1580	-2974	7539	-825.5	5222	2745	2427	-1943	-583.4	1030	1620	
0.423	0.5829	-0.4128	0.2175	0.7937	-0.7377	-0.06366	-0.1821	-0.7256	5669	9266	3330	6820	-289.8	5746	5555	1107	-7887	-1972	5079	9454	5723	-2358	678.2	1212	-1973	5292	8100	1340	-1166	972	4270	6069	3069	2982	2375	2473	3614	1011	-181.1	-3786	3578	-1988	-80.14	3982	-4785	1138	-1498	1077	6042	3034	4036	9188	-1124	1179	-3196	1.294e+04	-1928	1.265e+04	2939	3899	-209.5	3710	-3673	-2020	-1544	-1075	-2127	4536	-1912	3873	-3723	5927	1395	590.8	3707	1193	-4146	4110	-7383	-279	-2349	-26.3	5901	6005	1549	1.072e+04	-678.2	5377	2912	-2710	1.022e+04	3316	9527	6473	-2046	613.1	-1679	9444	5641	
0.7931	-0.03391	0.3119	-0.2669	0.3417	0.1791	0.03036	-0.6404	-0.5829	-0.6948	9806	4660	5188	-728.5	6973	2138	2673	-1.007e+04	-1835	4778	8374	1.077e+04	-5683	3181	2992	359	7392	6014	2896	-5852	1554	8305	4834	4156	1844	2493	2033	1334	1333	-1126	-2941	2453	-4684	3863	2560	-5862	-2744	-4038	4013	8294	5748	6388	7814	-3012	-577.7	-7916	1.474e+04	-1741	1.73e+04	6281	4341	-3844	6269	-6899	-6807	-1504	-6059	-4894	5779	-321.9	5814	-9604	5641	-980.4	1373	3902	1546	-7307	8374	-9344	2768	-5382	-2945	7678	7540	1129	1.542e+04	449.2	9807	-738.5	-6463	2.084e+04	5559	1.453e+04	7151	-1466	-4008	1080	1.324e+04	7177	
0.3294	-0.01439	0.03447	0.5331	0.08599	0.4206	0.4376	-0.01684	0.4572	-0.2952	-0.02545	5199	493.4	1785	4312	1754	1848	-626.1	2235	2333	169.1	1963	627	2008	-1593	2380	-1530	1453	1004	1773	481.6	2945	1521	782.7	2249	1191	-276.2	1761	2720	-1711	820.5	-665.9	-964.2	-991.5	1391	2902	282.1	2916	646.2	3993	-546.8	219.4	787.4	-1650	2518	267.7	736.9	1702	1904	3870	-1872	3829	2611	3705	2919	-588	1785	2808	1774	-3232	2177	82.37	-2304	659.5	-3083	-1700	156.8	1217	1853	-1308	-2214	121.9	-220.8	-2030	-1274	2074	2396	782.4	671.3	891	-1272	-2335	385.5	249.2	5407	2163	2027	-953.6	-1270	3724	
0.006628	0.6724	-0.3036	0.6876	0.6436	0.5633	-0.768	-0.722	-0.4741	0.6083	0.06328	0.01922	-6408	1031	-1855	-1593	-1405	3248	-285.5	-4337	-5400	72.62	-3285	-3334	-207.6	-777.6	-3738	-2432	-3312	-3326	-1059	-206.2	710.1	-2275	-1927	-3764	-3850	955.1	194.2	869.1	-1437	-1866	-4623	2028	827.6	2870	1543	574.5	2323	-1569	2608	-384.7	-1224	3667	-979.3	171.3	-1360	1672	-7689	-200.6	-766.3	-3306	-2798	946.6	-2315	-1662	537.7	4113	-1890	3881	-1427	2362	-3176	-4264	5361	376	-2420	1141	3494	3756	2916	-878.2	-3566	-64.67	-2967	1543	-1145	-139.2	-1727	-1879	2211	1787	-1191	-357.9	-1450	1685	-908	1011	-3902	284.8	
0.1042	0.1002	0.129	0.2944	0.9635	0.6319	-0.4796	-0.7953	-0.06718	0.1802	0.03436	0.9678	0.364	-4949	-1281	-2455	-6257	-4276	-2456	2042	3619	404.2	-1841	-3071	824.1	-1168	2093	-2505	-3848	-3371	-3431	-3040	-1768	474.4	-3072	-2943	3090	-3263	-361.9	1977	-2383	-765.6	561.8	3965	-2300	-5467	2890	-3132	-2407	-3992	-2053	-840.6	205.6	2121	-5538	-6598	-1090	-1116	2761	-2143	4886	-5975	-457.7	-4625	-4303	1638	-3629	-1453	-1841	951.8	452.6	-3234	6951	-2304	3887	3600	-2402	-4168	1911	-3289	-711.2	-2937	-360	1200	-717.2	-2851	3585	-560.4	4139	-14.02	-553.9	8835	2195	1479	-2917	-3317	-1622	951	8634	-1812	
0.6865	0.06737	-0.08799	0.07528	0.5419	0.2188	0.4795	-0.4441	-0.01679	-0.4698	0.3011	-0.1408	0.2637	0.5922	6311	6456	2349	-1941	-77.97	-1073	787.9	720.8	-638.2	2020	-4381	2275	-836.6	5250	2977	2044	4625	1554	3743	66.33	4530	3083	-272.3	3350	498.5	698.6	1639	435.2	-3042	-3212	2984	647.4	-1114	-2474	-2970	4270	-839.7	1209	2310	-4149	3370	377.5	6362	1890	6031	3237	622.8	5897	4563	-468.6	1212	-1963	4122	-136.6	134.3	-2893	3344	-1942	-2470	3474	-5981	-4246	5016	-1459	-863.9	-2207	-602.7	-1368	3521	1852	3523	2570	1856	1509	597.4	475.4	-3997	-2629	993.9	2790	5769	4717	415.8	-1548	-1069	1587	
